0: Vett*Vett = 0
1: Vett*Vett = 1
2: Vett*Vett = 4
3: Vett*Vett = 9
4: Vett*Vett = 16
5: Vett*Vett = 25
6: Vett*Vett = 36
7: Vett*Vett = 49
8: Vett*Vett = 64
9: Vett*Vett = 81
10: Vett*Vett = 100
11: Vett*Vett = 121
12: Vett*Vett = 144
13: Vett*Vett = 169
14: Vett*Vett = 196
15: Vett*Vett = 225
16: Vett*Vett = 256
17: Vett*Vett = 289
18: Vett*Vett = 324
19: Vett*Vett = 361
20: Vett*Vett = 400
21: Vett*Vett = 441
22: Vett*Vett = 484
23: Vett*Vett = 529
24: Vett*Vett = 576
25: Vett*Vett = 625
26: Vett*Vett = 676
27: Vett*Vett = 729
28: Vett*Vett = 784
29: Vett*Vett = 841
30: Vett*Vett = 900
31: Vett*Vett = 961
